train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9986811941730926,0.9987466347320298,0.9986811941730926,0.999759822908389,0.9999962165300395,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  1   0 996   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,A,latent,0.998408619611005,0.9975962634792678,0.998408619611005,0.9996176431081759,0.9999483428873881,"[[296   0   0   0   0   0]
 [  0 240   0   0   0   0]
 [  2   0 995   0   1   0]
 [  2   0   1 571   0   0]
 [  0   0   0   0 655   0]
 [  1   0   0   0   0 759]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,original,0.9939343810311553,0.9942355366883668,0.9939343810311553,0.9988038671192019,0.9999475281518193,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 184   2   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,C,latent,1.0,1.0,1.0,1.0,1.0,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,original,0.997512529382524,0.985167161383606,0.997512529382524,0.9995621242448158,0.999872025456849,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    1  315    0    1    0]
 [   3    0    1 3167    0    3]
 [   0    0    1    0  310    1]
 [   0    0    0    0    0  469]]"
A,MARISMA,latent,0.9864449058158143,0.9368397610366714,0.9864449058158143,0.9988043405645217,0.9992885549649717,"[[  19    0    1    0    0    0]
 [   1  179    1    0    0    0]
 [   0    1  315    0    0    1]
 [  16    0    6 3150    0    2]
 [   2    0    0    0  310    0]
 [   0    0    0    0    0  469]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),original,0.915361112116018,0.8647518867019791,0.915361112116018,0.9814830329937022,0.9937027196428398,"[[ 437    0    0    0    0    0]
 [   0  169    0    0    0    2]
 [  32  160 1443   75   35  253]
 [   1    2    0 2147    0    1]
 [   3   22   10    4  270   35]
 [   0    1    1    0    1 2165]]"
A,D (OOD),latent,0.9005777921859175,0.8417012595068538,0.9005777921859175,0.979970885285864,0.9806644944743393,"[[ 436    0    0    1    0    0]
 [   2  168    0    0    0    1]
 [ 489   46 1328   11   19  105]
 [  11    1    0 2139    0    0]
 [  30   18    2    0  264   30]
 [   6    1    0    0    0 2161]]"
A,MSUMG (OOD),original,0.9523446430481065,0.9680530163305588,0.9523446430481065,0.9922116134688923,0.9975428172752915,"[[ 1560     0    47     0     2     1]
 [    1  1843   259     0     4     8]
 [    4     2 11021     2     3     9]
 [    0     1   182  2982     1     3]
 [    3     3   163     2  3473     3]
 [    2     2   113     1     1  6589]]"
A,MSUMG (OOD),latent,0.9447477003398378,0.9394707757960282,0.9447477003398378,0.991548584372319,0.9920096720660113,"[[ 1564     1     3     0    42     0]
 [   26  1836     3     0   249     1]
 [   20    10 10597     2   410     2]
 [  138     2    14  2833   181     1]
 [    9     6     2     0  3630     0]
 [   23     3     1     0   108  6573]]"
B,A,original,0.9928526742003817,0.9891324365063635,0.9928526742003817,0.99855888078716,0.9996255969407369,"[[292   4   0   0   0   0]
 [  0 240   0   0   0   0]
 [  0  10 985   1   1   1]
 [  0   5   0 569   0   0]
 [  0   0   0   0 650   5]
 [  0   0   0   0   0 760]]"
B,A,latent,0.7405750043159007,0.7367510302289668,0.7405750043159007,0.9752963296722893,0.9997582611982847,"[[ 34   0   0 262   0   0]
 [  0  80   1   0   0 159]
 [  0   0 995   2   0   1]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
B,B,original,0.9961240310077519,0.9892672858617132,0.9961240310077519,0.9991273996509599,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  1 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,B,latent,0.8011922571286098,0.7857638143068043,0.8011922571286098,0.9786982248520711,0.9999753122994125,"[[ 1  0  0 18  0  0]
 [ 0  7  0  0  0  2]
 [ 0  0 42  1  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,original,0.9866799989424825,0.9710576125671557,0.9866799989424825,0.9972386410167965,0.9997508799513048,"[[ 38   0   0   0   0   1]
 [  0  19   0   0   0   0]
 [  0   3 181   2   0   0]
 [  0   2   0  71   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
B,C,latent,0.7583667634136271,0.756148457409947,0.7583667634136271,0.9818627051809345,0.9999596050244142,"[[  2   0   0  37   0   0]
 [  0  10   0   0   0   9]
 [  0   0 186   0   0   0]
 [  0   0   2  71   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
B,MARISMA,original,0.9937898511770581,0.9783066299856108,0.9937898511770581,0.998513395475944,0.9991824655957763,"[[  20    0    0    0    0    0]
 [   0  180    0    0    0    1]
 [   0    2  314    0    1    0]
 [   1   27    0 3144    0    2]
 [   0    3    0    0  308    1]
 [   0    0    0    0    0  469]]"
B,MARISMA,latent,0.7991957740905256,0.8060431368761051,0.7991957740905256,0.9957153931618157,0.9982156262568228,"[[   0    0    1   19    0    0]
 [   1  146    5    0    0   29]
 [   0    0  316    0    0    1]
 [   1    0    3 3168    0    2]
 [   1    0    0    0  310    1]
 [   0    0    0    0    0  469]]"
B,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
